QR1,QR2,QC1,QC2,SAF,GREEN DIESEL (G),NAPHTHA (N)
215.517939,763.979005,69.257297,716.789023,1694.58679,559.415793,369.479135
315.745048,300.490225,116.462904,290.062555,1573.2208,307.193248,1029.33193
379.371205,814.012477,202.06823,770.797207,2065.49624,659.942908,482.595937
230.804685,814.050104,63.0652635,765.407132,2270.78917,594.722733,416.172228
167.870682,509.317159,79.6601336,481.825038,1101.59283,430.510166,213.757134
195.526916,252.627156,90.74713,218.211794,1246.97591,424.793373,245.614267
750.053546,500.053422,515.492203,519.547218,1462.95578,168.17825,1155.5071
162.233578,474.487038,59.5214854,457.030559,1528.91278,92.9217879,272.033006
153.952898,953.869942,37.8377852,950.048734,1559.34422,58.3687441,377.804315
836.329908,639.929425,594.876385,630.394333,1596.9668,354.607725,1326.58122
267.725148,330.941746,122.633298,322.186139,1278.34045,137.864059,745.220382
620.402771,749.142104,398.859665,725.156759,1898.34853,407.505783,991.636598
646.810069,713.04779,419.744355,705.679575,1650.48451,268.708932,1310.14848
320.040067,683.757742,158.601643,657.678369,1832.52184,563.97886,433.498804
202.707378,367.026998,44.2281316,314.472715,2002.77669,700.183145,426.108971
241.66525,238.505121,107.073152,231.131431,1694.86349,93.0897128,464.65895
498.41071,744.950609,270.186078,732.058916,2034.24609,326.258394,916.124959
215.34659,522.031609,106.108181,496.476663,1246.81541,452.784347,267.004786
443.86621,250.248724,292.331263,233.575366,1202.98107,380.828023,697.39932
235.453723,1086.7642,77.628084,1038.06854,2401.89997,525.527593,344.587797
433.711361,776.459757,200.58092,767.727616,1922.25322,151.417484,1273.44037
125.526572,711.288834,22.9631617,698.851629,1777.95449,128.945239,230.89204
197.899287,502.80534,68.2217157,491.467798,1058.58393,266.533156,640.193082
156.739612,591.362205,28.1727712,573.282312,2210.39298,188.267746,227.045604
87.9569351,714.325541,13.1384002,707.53247,1456.86593,49.8644617,131.220965
149.664212,356.48661,45.1244222,346.339889,1338.85711,137.742359,341.679663
513.820092,393.066896,346.999964,383.288984,1271.18725,508.146483,767.472659
506.447281,605.956914,295.91053,583.771893,1644.22192,668.212215,912.418938
179.595447,621.756921,63.9187884,605.211354,1255.6508,214.896621,456.997735
795.777119,597.340622,598.637216,590.263924,1277.07911,268.48347,1150.83088
245.594617,738.91388,82.960864,694.366951,1954.19471,792.577724,380.055539
237.589035,663.476858,120.439501,663.461236,1238.97375,40.6033094,511.153862
399.53736,243.539904,166.899357,240.15847,1775.82685,88.0531908,1397.88222
295.912914,779.107398,133.394687,760.793211,1905.05537,178.578345,634.938807
544.641234,228.456613,358.906701,204.492004,1768.75837,382.583645,795.722272
730.58198,785.196134,488.112084,780.856999,2108.6364,90.1355982,1278.22204
399.188132,930.700034,183.504117,912.001336,1761.34275,678.677397,923.041188
188.281769,171.027764,61.3641549,165.901832,1228.66332,120.979283,530.799511
279.882933,659.870465,137.963714,644.559262,1610.90964,238.252944,520.766288
167.653405,453.468268,55.5263336,443.199689,1291.9059,79.9395925,466.130503
192.039881,905.531856,72.0238766,888.554106,1873.56397,185.824973,286.45438
125.777982,291.533959,41.8338437,280.576826,1240.59601,92.4754126,220.953483
319.759019,801.310187,148.367707,755.511058,2182.0667,547.547824,449.313041
355.123875,121.167741,211.83453,116.293801,1093.05029,83.0115851,847.817617
200.340257,286.756565,60.5791526,257.121347,2000.28338,135.345742,368.235742
395.684396,97.6140138,256.380947,102.939499,917.475114,166.880763,862.676684
382.82201,821.116813,170.482434,809.221438,2486.78615,132.145678,741.243721
395.118336,511.320152,214.252281,472.33916,2255.54738,518.05932,493.421274
343.596882,359.737042,225.445121,352.549421,1267.13735,57.7983284,497.179956
167.639728,280.907294,65.6259229,268.782766,961.341715,270.611116,432.142518
230.126358,840.00799,67.5469701,831.973194,1995.38316,121.451922,622.917744
361.338918,471.164218,209.125648,454.967679,1333.16564,531.315971,519.308322
144.123029,248.288519,38.9044339,218.253224,1604.77413,416.609602,228.488174
148.408335,997.085015,31.6078436,975.932498,1614.30071,262.940621,319.514862
565.845307,471.069653,347.703131,463.007003,1851.19156,103.467883,1185.43955
365.938928,188.879269,183.316848,185.810301,1282.31355,260.178902,974.380753
406.587898,277.71735,250.382887,267.128538,1473.08168,148.729078,742.692189
283.121964,482.857984,162.028871,472.668876,1355.47032,217.042915,426.736878
474.457213,616.84827,265.789289,590.163312,1934.12094,480.591766,866.624488
171.488902,471.910239,55.2510987,449.087826,1599.25925,132.255976,311.312446
196.302077,403.665445,102.358726,394.539685,1369.70236,85.4530572,253.572358
404.210272,515.179786,270.843808,517.479045,1132.14513,117.066736,686.197771
780.304932,336.890875,562.994632,342.584049,1838.10279,148.954284,1145.47131
806.858876,226.13782,555.245105,226.257814,1600.88037,406.980842,1355.16014
200.809213,327.935323,83.239982,289.197653,1541.14388,387.4607,300.21451
207.966176,738.068686,91.2424888,724.330951,1340.08319,276.614821,351.310221
203.181111,918.334685,60.5303968,879.756835,2046.27681,480.124257,345.924036
215.798195,885.700626,84.0640543,846.215715,1615.87275,609.988721,305.277539
311.793879,227.483224,149.314391,229.556073,1016.66964,235.795135,906.269193
351.396886,603.823024,211.347257,608.86823,1208.98478,57.2849627,737.987528
