Zeolite ID,Temp (°C),Conv. (%),Hetero Sel. (%),Crack Sel. (%),iC4​/nC4​,C3​/C7​,Cell Param (nm),Cryst. (%),Acid Cont. (μmol/g),Tot. Acid B/L,Med-Str Acid B/L,Acid Str.,Si/Al (mol),Tot. Area (m2/g),Micro Area (m2/g),Meso Area (m2/g),Tot. Vol (cm3/g),Micro Vol (cm3/g),Meso Vol (cm3/g)
Y19,330,23.7,9.3,90.7,1.9,3,2.4529,77.8,1432,4,4.4,352.4,3.6,623,543,80,0.426,0.25,0.176
Y19,350,36.9,6.4,93.6,1.8,3.7,2.4529,77.8,1432,4,4.4,352.4,3.6,623,543,80,0.426,0.25,0.176
Y19,370,48,4.7,95.3,1.7,4.9,2.4529,77.8,1432,4,4.4,352.4,3.6,623,543,80,0.426,0.25,0.176
Y20,310,14.5,16.5,83.5,2.2,1.9,2.4478,70.5,1174.2,6.2,8.6,383.6,3,658,606,52,0.361,0.28,0.081
Y20,330,24,12.4,87.6,1.9,2.2,2.4478,70.5,1174.2,6.2,8.6,383.6,3,658,606,52,0.361,0.28,0.081
Y20,350,36.9,8.2,91.8,1.8,2.8,2.4478,70.5,1174.2,6.2,8.6,383.6,3,658,606,52,0.361,0.28,0.081
Y20,370,50.7,5.2,94.8,1.6,3.9,2.4478,70.5,1174.2,6.2,8.6,383.6,3,658,606,52,0.361,0.28,0.081
Y21,310,7.4,18.5,81.5,2.4,1.8,2.4314,69.8,453.5,14.9,14.4,352.7,18.5,732,650,82,0.428,0.301,0.127
Y21,330,14.2,15.2,84.8,2,2,2.4314,69.8,453.5,14.9,14.4,352.7,18.5,732,650,82,0.428,0.301,0.127
Y21,350,24.1,12,88,1.8,2.5,2.4314,69.8,453.5,14.9,14.4,352.7,18.5,732,650,82,0.428,0.301,0.127
Y21,370,31.9,9.2,90.8,1.6,3.1,2.4314,69.8,453.5,14.9,14.4,352.7,18.5,732,650,82,0.428,0.301,0.127
Y22,310,6.4,21.3,78.7,2,2.3,2.439,76.2,909.1,12.3,15.6,366.6,8.3,710,652,58,0.443,0.301,0.142
Y22,330,12.2,15,85,1.8,2.9,2.439,76.2,909.1,12.3,15.6,366.6,8.3,710,652,58,0.443,0.301,0.142
Y22,350,21.1,10.4,89.6,1.7,3.5,2.439,76.2,909.1,12.3,15.6,366.6,8.3,710,652,58,0.443,0.301,0.142
Y22,370,33.4,7.1,92.9,1.6,4.4,2.439,76.2,909.1,12.3,15.6,366.6,8.3,710,652,58,0.443,0.301,0.142
Y23,310,11.9,19,81,2.2,1.7,2.4638,88.9,1395.3,4,5,257.3,2.4,706,683,23,0.385,0.315,0.07
Y23,330,25.7,10.8,89.2,2,2.4,2.4638,88.9,1395.3,4,5,257.3,2.4,706,683,23,0.385,0.315,0.07
Y23,350,37.3,7.6,92.4,1.8,3.1,2.4638,88.9,1395.3,4,5,257.3,2.4,706,683,23,0.385,0.315,0.07
Y23,370,49.4,5.5,94.5,1.6,3.7,2.4638,88.9,1395.3,4,5,257.3,2.4,706,683,23,0.385,0.315,0.07
