substrate identification,substrate name,substrate class in database,pH,carbon,nitrogen,sugar,fat,protein,lignin,dry matter,organic matter,state,pretreatment,pretreatment type,chemical oxygen demand (COD),Methane yield,Methane yield2,organic loading,organic loading3,experimental scale,reactor liquid volume,reactor gas volume,reactor liquid-to-gas ratio,configuration,buffer type used,buffer type final concentration,enzyme addition to reactor,enzyme brand,microorganisms addition to reactor,microorganism brand,mixing in reactor,rotation velocity,biomass preadaptation to substrates,duration of preadaptation,biomass dilution in reactor,biomass dilution factor,biomass preincubation,preincubation time,particle size of substrate decrease before addition to reactor,particle size of substrate before decrease,particle size of biomass decrease before addition to reactor,biomass dry matter,biomass organic matter,biomass organic matter4,biomass pH,biomass volatile organic acids (VOA),biomass total organic carbon (TOC),VOA/TOC,total nitrogen,ammonium nitrogen,ammonia,chemical oxygen demand (COD)5,temperature range,experimental temperature of anaerobic digestion,additional factor 1,additional factor 2,dry matter6,organic matter7,organic matter8,pH9,volatile organic acids (VOA),total organic carbon (TOC),VOA/TOC10,total nitrogen11,ammonium nitrogen12,ammonia13,chemical oxygen demand (COD)14,additional factor 115,additional factor 216,reference for citation
Beet,Fodder Beet,agricultural,,,,,,,,,,solid,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Maize,Maize,agricultural,,,,,,,,,,solid,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Maize,Maize,agricultural,,,,,,,,,,solid,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Wheat,corn cob mix,agricultural,,,,,,,,,,solid,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Wheat,corn cob mix,agricultural,,,,,,,,,,solid,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Wheat,Wheat,agricultural,,,,,,,,,,solid,,,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Wheat,Wheat,agricultural,,,,,,,,,,solid,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Triticale,Triticale,agricultural,,,,,,,,,,solid,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Triticale,Triticale,agricultural,,,,,,,,,,solid,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Sorghum,Sorghum,agricultural,,,,,,,,,,solid,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Sorghum,Sorghum,agricultural,,,,,,,,,,solid,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
Grass,Grass,agricultural,,,,,,,,,,solid,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesophilic,,,,,,,,,,,,,,,,,Weiland. P. 2010. Biogas production: current state and perspectives. Applied Microbiology and Biotechnology. 85(4). 849-860.
